ID,Start time,Completion time,Email,Name,Last modified time,Question,Please select the appropriate consent statement below.,How do you usually ride your skateboard?,"With which foot forward do you do your highest ollies on a skateboard?
","When you skate an obstacle with transition like a bowl or a half-pipe, which foot forward feels most comfortable?
",What foot forward do you feel the most safe riding fast down a hill on a skateboard?,"When you snowboard, which foot forward do you feel most comfortable carving down the mountain with?
","When you surf, which foot forward do you feel most comfortable when you ride a wave?
",Almost all of my friends (more than 90%) share my same stance.,"One or more of my parents share my same stance when they skateboard, snowboard, and/or surf.
","My favorite skateboarder has the same stance as me.
","I started skateboarding with a different stance than the one I have now.
","In recent memory, I recall seeing skateboarding magazine ads or online posts in skate-
boarding, and I have tried to figure out what stance they are.","I have the same stance whether I skate any obstacle, snowboard any hill, or surf any wave.","Usually, when you write with a pen or pencil, which hand do you use?","Usually, when you throw a ball, which hand do you use?
","Which hand do you feel more control when swinging a hammer?
","Usually, when you kick a ball into a goal, which foot do you use?
","Usually, when you sweep a floor from the side, which foot seems more naturally in front?
","If you were to step on a guitar pedal, which foot would you use?
","To stand on a chair, which foot do you use to get up on the chair?
",Take a moment to test your preferred eye. 1) Stretch your arms out in front of you and 2) with your hands make an O shaped hole and 3) line up the O shaped hole to frame an object. Which eye do yo...,Take a moment to pinpoint an object in the distance and align your thumb over it. Which eye do you need to close to do so?,How many years have you been skateboarding,"In the last few years, how often do you skateboard?",What would your say your skateboarding expertise level is?,Gender:,Race (Mark ONLY one with which you MOST CLOSELY identify),Age,Ethnicity (Mark ONLY one with which you MOST CLOSELY identify):,Residence Locality (Mark ONLY one with which you CURRENTLY live),Identity Locality (Mark ONLY one with which you IDENTIFY as your home locality)
81,5/2/24 17:07:34,5/2/24 17:23:18,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Neutral,Disagree,Agree,Disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Mostly Right    ,Neither,Always  Left,20+ years,Seasonal (summer),Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
82,5/2/24 17:18:10,5/2/24 17:23:29,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Strongly disagree,I do not know,Agree,Strongly disagree,Neutral,Strongly Agree,Always  Left,Always  Left,Always  Left,Mostly Left    ,Mostly Right    ,Both Equally    ,Both Equally    ,Right    ,Mostly Left    ,5-10 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,20 and under,Not Hispanic or Latino,North America;,North America;
83,5/2/24 17:16:33,5/2/24 17:24:13,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Neutral,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Mostly Left    ,Left    ,Mostly Left    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,More than one race,46-55,Not Hispanic or Latino,South America;,South America;
84,5/2/24 17:20:23,5/2/24 17:24:55,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Mostly Left    ,Always  Left,Disagree,I do not know,Disagree,Disagree,Agree,Agree,Always Right    ,Always Right    ,,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Right    ,,,20+ years,Weekly,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,Unknown or not reported,36-45,Unknown or not reported,North America;,North America;
85,5/2/24 17:29:05,5/2/24 17:36:21,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Left    ,Always  Left,3-5 years,Weekly,Advanced (I can occasionally land complex tricks),Woman,White,20 and under,Not Hispanic or Latino,North America;,North America;
86,5/2/24 17:28:55,5/2/24 17:37:08,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,Neutral,Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Left    ,Mostly Right    ,Left    ,Both Equally    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,Europe;,Europe;
87,5/2/24 17:27:03,5/2/24 17:38:24,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,Mostly Left    ,Always  Left,Disagree,I do not know,Disagree,Disagree,Agree,Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Both Equally    ,Right    ,Mostly Left    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,Europe;
88,5/2/24 17:40:44,5/2/24 17:46:24,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Disagree,I do not know,Disagree,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Right    ,Both Equally    ,11-20 years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,36-45,Not Hispanic or Latino,Europe;,Europe;
89,5/2/24 17:45:53,5/2/24 17:52:22,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with left right foot (regular mongo stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Agree,I do not know,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Left    ,Both Equally    ,1-2 years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,21-25,Not Hispanic or Latino,North America;,North America;
90,5/2/24 17:40:17,5/2/24 17:53:01,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,I do not know the stance of my favorite skateboarder,,Agree,Agree,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Both Equally    ,Left    ,Mostly Left    ,3-5 years,Every other week,Intermediate (I can occasionally land simple tricks),Woman,White,20 and under,Not Hispanic or Latino,North America;,North America;
91,5/2/24 17:58:11,5/2/24 18:02:20,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Always Right    ,Always  Left,I do not surf enough to know,Strongly disagree,I do not know,Disagree,Disagree,Strongly Agree,Strongly disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always  Left,Always Right    ,Always Right    ,Left    ,Always Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
92,5/2/24 17:59:06,5/2/24 18:05:50,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,Agree,Agree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Both Equally    ,Left    ,Mostly Left    ,11-20 years,Monthly,Advanced (I can occasionally land complex tricks),Man,Unknown or not reported,26-35,Hispanic or Latino,North America;,North America;
93,5/2/24 17:58:12,5/2/24 18:06:21,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Both Equally    ,Mostly Left    ,Always  Left,Always  Left,Mostly Left    ,Disagree,I do not know,Disagree,Strongly disagree,Strongly disagree,Disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Left    ,Always  Left,20+ years,Weekly,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
94,5/2/24 18:06:11,5/2/24 18:10:53,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,Neutral,Disagree,Disagree,Agree,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Always Right    ,Left    ,Mostly Left    ,3-5 years,Weekly,Intermediate (I can occasionally land simple tricks),Non-binary,White,26-35,Not Hispanic or Latino,North America;,North America;
95,5/2/24 18:10:31,5/2/24 18:14:55,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Strongly disagree,I do not know,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Right    ,Mostly Left    ,20+ years,Yearly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
96,5/2/24 18:08:59,5/2/24 18:14:58,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,Neutral,Disagree,Disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Right    ,Mostly Left    ,11-20 years,Monthly,Advanced (I can occasionally land complex tricks),Man,More than one race,21-25,Not Hispanic or Latino,North America;,Australia;
97,5/2/24 18:12:32,5/2/24 18:17:06,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with front right foot (goofy mongo stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Strongly disagree,I do not know,Disagree,Disagree,Disagree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Mostly Right    ,Right    ,Always Right    ,11-20 years,Yearly,Intermediate (I can occasionally land simple tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
98,5/2/24 18:18:55,5/2/24 18:25:04,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Neutral,I do not know,Disagree,Disagree,Agree,Strongly disagree,Always  Left,Mostly Right    ,Both Equally    ,Mostly Left    ,Mostly Right    ,Mostly Right    ,Both Equally    ,Right    ,Mostly Right    ,20+ years,Daily,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,Europe;,Europe;
99,5/2/24 18:23:24,5/2/24 18:28:51,anonymous,,,12/2/1996,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,Neutral,Disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always  Left,Always Right    ,Mostly Right    ,Left    ,Always Right    ,3-5 years,Weekly,Intermediate (I can occasionally land simple tricks),Man,Unknown or not reported,26-35,Hispanic or Latino,North America;,North America;
100,5/2/24 18:24:58,5/2/24 18:29:18,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,Always  Left,Disagree,Strongly disagree,I do not know the stance of my favorite skateboarder,Agree,Strongly disagree,Strongly Agree,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Always Right    ,Left    ,Always  Left,5-10 years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Woman,White,20 and under,Not Hispanic or Latino,Europe;,Europe;
101,5/2/24 18:29:45,5/2/24 18:34:51,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Mostly Left    ,I do not surf enough to know,Neutral,I do not know,Disagree,Disagree,Neutral,Neutral,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Mostly Left    ,Mostly Left    ,Right    ,Always  Left,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
102,5/2/24 18:38:41,5/2/24 18:41:21,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Mostly Right    ,Right    ,Mostly Right    ,5-10 years,Monthly,Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
103,5/2/24 18:36:20,5/2/24 18:42:54,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Agree,I do not know,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Always Right    ,Left    ,Always  Left,5-10 years,Weekly,Intermediate (I can occasionally land simple tricks),Woman,White,46-55,Not Hispanic or Latino,Europe;,Europe;
104,5/2/24 18:52:18,5/2/24 18:56:31,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",I do not skateboard enough to know,I do not skateboard enough to know,Mostly Right    ,Mostly Right    ,I do not surf enough to know,Disagree,I do not know,I do not know the stance of my favorite skateboarder,I do not skateboard enough to know,Strongly disagree,Neutral,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Always Right    ,Left    ,Always Right    ,Less than a year,Never,Beginner (I cannot ride on a board),Woman,White,26-35,Not Hispanic or Latino,North America;,North America;
105,5/2/24 18:53:26,5/2/24 19:00:04,anonymous,,,5/9/1981,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Neutral,I do not know,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Always  Left,Always  Left,Always  Left,Always  Left,Both Equally    ,Mostly Right    ,Both Equally    ,Left    ,Always  Left,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
106,5/2/24 18:55:03,5/2/24 19:00:43,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,I do not know the stance of my favorite skateboarder,Disagree,Neutral,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Mostly Right    ,Mostly Right    ,Right    ,Always Right    ,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
107,5/2/24 19:07:01,5/2/24 19:14:01,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Mostly Right    ,Mostly Left    ,Both Equally    ,Mostly Left    ,I do not surf enough to know,Neutral,I do not know,Agree,Disagree,Neutral,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Mostly Left    ,Both Equally    ,Right    ,Mostly Left    ,3-5 years,Daily,Intermediate (I can occasionally land simple tricks),Man,White,21-25,,North America;,North America;
108,5/2/24 18:59:44,5/2/24 19:24:54,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Mostly Left    ,Always Right    ,Always Right    ,Always  Left,Always  Left,Strongly disagree,I do not know,Disagree,Strongly Agree,Strongly Agree,Neutral,Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Always Right    ,Both Equally    ,Right    ,Always  Left,3-5 years,Weekly,Advanced (I can occasionally land complex tricks),Woman,White,20 and under,Unknown or not reported,Europe;,Europe;
109,5/2/24 19:20:15,5/2/24 19:28:15,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,Always  Left,Disagree,I do not know,Strongly Agree,Strongly disagree,Neutral,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always  Left,Always Right    ,Both Equally    ,Right    ,Always  Left,1-2 years,Every other week,Intermediate (I can occasionally land simple tricks),Man,White,20 and under,Not Hispanic or Latino,Europe;,Europe;
110,5/2/24 19:26:01,5/2/24 19:30:16,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",I do not skateboard enough to know,Always Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Disagree,I do not know,Agree,Strongly disagree,Agree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Left    ,Always Right    ,11-20 years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Woman,More than one race,36-45,Not Hispanic or Latino,North America;,North America;
111,5/2/24 19:40:31,5/2/24 19:49:34,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,I do not snowboard enough to know,I do not surf enough to know,Agree,I do not know,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Left    ,Mostly Right    ,Right    ,Always  Left,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Unknown or not reported,Prefer not to say;,Asia;
112,5/2/24 19:46:36,5/2/24 19:53:58,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Mostly Left    ,Always  Left,I do not snowboard enough to know,Always  Left,Agree,I do not know,Agree,Strongly disagree,Agree,Neutral,Always  Left,Always Right    ,Always Right    ,Always Right    ,Always  Left,Always Right    ,Always Right    ,Left    ,Always  Left,20+ years,Weekly,Expert (I can consistently land complex tricks),Man,White,36-45,Hispanic or Latino,North America;,North America;
113,5/2/24 19:50:19,5/2/24 19:54:56,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Disagree,I do not know,Agree,Strongly disagree,Agree,Strongly Agree,Always  Left,Always Right    ,Mostly Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Mostly Left    ,Left    ,Always  Left,11-20 years,Every other week,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
114,5/2/24 19:50:33,5/2/24 19:55:33,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,I do not snowboard enough to know,Mostly Right    ,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Mostly Right    ,Always Right    ,Always Right    ,Both Equally    ,,Mostly Right    ,Left    ,Always Right    ,20+ years,Weekly,Sponsored/Pro (I regularly receive skateboard products for free from companies),Man,White,26-35,Not Hispanic or Latino,Australia;,Australia;
115,5/2/24 20:12:59,5/2/24 20:18:32,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,I do not surf enough to know,Disagree,I do not know,Disagree,Disagree,Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Always Right    ,Always Right    ,Left    ,Mostly Right    ,11-20 years,Seasonal (summer),Advanced (I can occasionally land complex tricks),Man,American Indian or Alaska Native,26-35,Not Hispanic or Latino,North America;,North America;
116,5/2/24 20:30:36,5/2/24 20:32:44,anonymous,,,5/3/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,I do not surf enough to know,Strongly disagree,Disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always  Left,Always  Left,Always  Left,Right    ,Always  Left,11-20 years,Every other week,Advanced (I can occasionally land complex tricks),Man,White,21-25,Not Hispanic or Latino,Europe;,Europe;
117,5/2/24 20:35:38,5/2/24 20:43:51,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Neutral,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Left    ,Mostly Left    ,Both Equally    ,Right    ,Always Right    ,5-10 years,Weekly,Advanced (I can occasionally land complex tricks),Woman,White,21-25,Not Hispanic or Latino,North America;,North America;
118,5/2/24 20:43:18,5/2/24 20:55:23,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",Always  Left,Always  Left,Always  Left,Always  Left,I do not surf enough to know,Strongly disagree,I do not know,I do not know the stance of my favorite skateboarder,Strongly disagree,Disagree,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Right    ,Mostly Right    ,11-20 years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,26-35,Hispanic or Latino,South America;,South America;
119,5/2/24 20:58:00,5/2/24 21:02:42,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Disagree,I do not know,Agree,Strongly disagree,Neutral,Strongly Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Left    ,Always  Left,5-10 years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Hispanic or Latino,South America;,South America;
120,5/2/24 20:57:24,5/2/24 21:09:04,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Always Right    ,Strongly disagree,I do not know,Disagree,Strongly disagree,Strongly Agree,Disagree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Always Right    ,Mostly Left    ,Right    ,Always  Left,20+ years,Seasonal (summer),Intermediate (I can occasionally land simple tricks),Man,White,36-45,Not Hispanic or Latino,North America;,North America;
121,5/2/24 20:55:16,5/2/24 21:12:31,anonymous,,,5/1/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Left foot in front, push with back right foot (regular stance)",I do not skateboard enough to know,I do not skateboard enough to know,I do not skateboard enough to know,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,Strongly disagree,Strongly disagree,Disagree,Neutral,Always Right    ,Always Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Left    ,Mostly Right    ,Less than a year,Yearly,Novice (I can push around),Man,White,26-35,Hispanic or Latino,South America;,South America;
122,5/2/24 21:03:16,5/2/24 21:22:12,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Both Equally    ,Always Right    ,Mostly Right    ,Always Right    ,Strongly disagree,I do not know,Neutral,Strongly disagree,Disagree,Agree,Always Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Mostly Right    ,Neither,Mostly Left    ,11-20 years,Monthly,Intermediate (I can occasionally land simple tricks),Man,,36-45,Not Hispanic or Latino,North America;,North America;
123,5/2/24 21:20:03,5/2/24 21:25:53,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Disagree,I do not know,Neutral,Strongly disagree,Strongly Agree,Strongly Agree,Always Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Both Equally    ,Mostly Right    ,Mostly Right    ,Left    ,Mostly Left    ,20+ years,Monthly,Advanced (I can occasionally land complex tricks),Man,White,46-55,Not Hispanic or Latino,North America;,North America;
124,5/2/24 21:33:00,5/2/24 21:39:16,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Mostly Right    ,Always Right    ,I do not snowboard enough to know,I do not surf enough to know,Neutral,I do not know,Neutral,Strongly disagree,Agree,Neutral,Mostly Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Mostly Right    ,Always Right    ,Mostly Right    ,Right    ,Always Right    ,5-10 years,Weekly,Advanced (I can occasionally land complex tricks),Woman,White,26-35,Not Hispanic or Latino,North America;,North America;
125,5/2/24 21:59:48,5/2/24 22:01:53,anonymous,,,5/2/2024,I understand the study described above. I am 18 years of age or older and I agree to participate.,"Right foot in front, push with back left foot (goofy stance)",Always Right    ,Always Right    ,Always Right    ,Both Equally    ,Always Right    ,Disagree,Strongly Agree,Disagree,Strongly disagree,Strongly Agree,Agree,Always Right    ,Always Right    ,Always Right    ,Always Right    ,Mostly Left    ,Mostly Right    ,Always Right    ,Left    ,Always  Left,20+ years,Weekly,Advanced (I can occasionally land complex tricks),Man,White,26-35,Not Hispanic or Latino,North America;,North America;
